customer_id,customer_name,city,state,loyalty_status,signup_date
CUST00001,Priya Gupta,Mumbai,Maharashtra,Silver,5/24/2022
CUST00002,Aarav Verma,Patna,Bihar,Regular,11/8/2021
CUST00003,Riya Sharma,Pune,Maharashtra,Gold,7/26/2023
CUST00004,Neha Sharma,Mumbai,Maharashtra,Regular,9/15/2021
CUST00005,Neha Sharma,Chennai,Tamil Nadu,Gold,9/15/2022
CUST00006,Riya Singh,Bengaluru,Karnataka,Gold,6/15/2023
CUST00007,Aarav Sharma,Indore,Madhya Pradesh,Regular,9/8/2022
CUST00008,Neha Verma,Pune,Maharashtra,Silver,6/19/2022
CUST00009,Neha Sharma,Chennai,Tamil Nadu,Regular,1/6/2024
CUST00010,Priya Singh,Hyderabad,Telangana,Silver,5/12/2022
CUST00012,Priya Singh,Delhi,Delhi,Regular,2/14/2021
CUST00013,Priya Gupta,Chennai,Tamil Nadu,Regular,6/11/2022
CUST00014,Riya Gupta,Chennai,Tamil Nadu,Silver,4/10/2022
CUST00015,Aarav Singh,Jaipur,Rajasthan,Gold,5/12/2023
CUST00016,Riya Gupta,Kolkata,West Bengal,Regular,1/14/2021
CUST00017,Rahul Sharma,Patna,Bihar,Regular,10/13/2023
CUST00018,Rahul Verma,Chennai,Tamil Nadu,Regular,8/11/2023
CUST00019,Rahul Singh,Chennai,Tamil Nadu,Regular,10/13/2023
CUST00020,Ananya Verma,Ahmedabad,Gujarat,Silver,5/5/2023
CUST00021,Riya Sharma,Chandigarh,Chandigarh,Gold,10/27/2021
CUST00022,Priya Sharma,Chandigarh,Chandigarh,Regular,2/18/2021
CUST00023,Ananya Gupta,Ahmedabad,Gujarat,Regular,5/4/2021
CUST00024,Priya Gupta,Bengaluru,Karnataka,Gold,10/6/2022
CUST00025,Aarav Sharma,Indore,Madhya Pradesh,Regular,11/6/2022
CUST00026,Ananya Gupta,Delhi,Tamil Nadu,Regular,10/1/2022
CUST00027,Riya Gupta,Noida,Uttar Pradesh,Silver,11/11/2022
CUST00028,Ananya Sharma,Jaipur,Rajasthan,Regular,6/10/2021
CUST00029,Aarav Singh,Hyderabad,Telangana,Silver,9/11/2021
CUST00030,Ananya Gupta,Pune,Maharashtra,Silver,9/25/2022
CUST00031,Priya Sharma,Kochi,Kerala,Regular,8/28/2023
CUST00032,Rahul Gupta,Chennai,Tamil Nadu,Regular,10/25/2022
CUST00033,Riya Gupta,Kolkata,West Bengal,Regular,4/22/2023
CUST00034,Riya Gupta,Chennai,Tamil Nadu,Regular,2/9/2023
CUST00035,Priya Sharma,Delhi,Delhi,Regular,6/11/2022
CUST00036,Riya Sharma,Chennai,Tamil Nadu,Gold,11/26/2022
CUST00037,Rahul Singh,Kolkata,West Bengal,Gold,3/31/2021
CUST00038,Riya Singh,Hyderabad,Telangana,Silver,9/2/2022
CUST00039,Riya Sharma,Delhi,Delhi,Regular,4/24/2022
CUST00040,Priya Gupta,Mumbai,Maharashtra,Silver,5/30/2022
CUST00041,Priya Gupta,Chandigarh,Chandigarh,Regular,10/14/2023
CUST00042,Aarav Singh,Bengaluru,Karnataka,Gold,11/6/2021
CUST00043,Ananya Singh,Ahmedabad,Gujarat,Silver,8/2/2023
CUST00044,Neha Sharma,Kolkata,West Bengal,Gold,2/9/2022
CUST00045,Ananya Verma,Lucknow,Uttar Pradesh,Silver,5/13/2021
CUST00046,Aarav Gupta,Noida,Uttar Pradesh,Gold,1/21/2024
CUST00047,Ananya Gupta,Kolkata,West Bengal,Regular,5/28/2021
CUST00048,Neha Sharma,Hyderabad,Telangana,Regular,7/17/2021
CUST00049,Priya Gupta,Lucknow,Uttar Pradesh,Regular,4/25/2022
CUST00050,Priya Gupta,Bengaluru,Karnataka,Gold,4/27/2022
CUST00051,Neha Sharma,Indore,Madhya Pradesh,Silver,8/25/2022
CUST00052,Neha Singh,Hyderabad,Telangana,Silver,6/5/2022
CUST00053,Rahul Verma,Indore,Madhya Pradesh,Silver,5/22/2022
CUST00054,Ananya Verma,Bengaluru,Karnataka,Regular,7/31/2022
CUST00055,Neha Verma,Chandigarh,Chandigarh,Silver,5/13/2021
CUST00056,Rahul Verma,Lucknow,Uttar Pradesh,Gold,12/14/2023
CUST00057,Riya Sharma,Chennai,Tamil Nadu,Gold,8/9/2023
CUST00058,Aarav Sharma,Delhi,Delhi,Silver,4/19/2022
CUST00059,Priya Singh,Kochi,Kerala,Regular,8/25/2022
CUST00060,Aarav Sharma,Chennai,Tamil Nadu,Regular,4/9/2024
CUST00061,Aarav Singh,Chennai,Tamil Nadu,Gold,12/31/2021
CUST00062,Neha Singh,Jaipur,Rajasthan,Gold,1/13/2021
CUST00063,Riya Singh,Mumbai,Maharashtra,Regular,3/18/2021
CUST00064,Rahul Verma,Kolkata,West Bengal,Regular,2/22/2022
CUST00065,Aarav Verma,Hyderabad,Telangana,Regular,11/2/2022
CUST00066,Riya Singh,Lucknow,Uttar Pradesh,Regular,10/2/2022
CUST00067,Ananya Sharma,Mumbai,Maharashtra,Silver,1/28/2024
CUST00068,Aarav Gupta,Jaipur,Rajasthan,Regular,3/21/2023
CUST00069,Neha Verma,Noida,Uttar Pradesh,Gold,12/30/2023
CUST00070,Riya Verma,Mumbai,Maharashtra,Silver,7/10/2022
CUST00071,Rahul Singh,Lucknow,Uttar Pradesh,Silver,4/16/2021
CUST00072,Riya Singh,Hyderabad,Telangana,Silver,5/3/2023
CUST00073,Rahul Verma,Delhi,Delhi,Silver,4/10/2023
CUST00074,Aarav Gupta,Chennai,Tamil Nadu,Regular,5/18/2023
CUST00075,Aarav Gupta,Mumbai,Maharashtra,Gold,1/17/2023
CUST00076,Ananya Verma,Jaipur,Rajasthan,Regular,4/16/2021
CUST00077,Ananya Gupta,Pune,Maharashtra,Regular,3/19/2024
CUST00078,Rahul Verma,Ahmedabad,Gujarat,Regular,12/14/2022
CUST00079,Ananya Verma,Hyderabad,Telangana,Regular,8/11/2021
CUST00080,Priya Verma,Lucknow,Uttar Pradesh,Silver,9/17/2021
CUST00081,Aarav Gupta,Kochi,Kerala,Silver,4/20/2021
CUST00082,Riya Gupta,Ahmedabad,Gujarat,Regular,11/25/2021
CUST00083,Ananya Gupta,Noida,Uttar Pradesh,Gold,2/6/2022
CUST00084,Priya Verma,Kochi,Kerala,Gold,3/23/2022
CUST00085,Priya Verma,Delhi,Delhi,Silver,1/6/2023
CUST00086,Ananya Verma,Mumbai,Maharashtra,Gold,1/30/2022
CUST00087,Neha Sharma,Delhi,Delhi,Gold,10/26/2022
CUST00088,Priya Gupta,Mumbai,Maharashtra,Gold,9/20/2022
CUST00089,Priya Singh,Noida,Uttar Pradesh,Gold,5/26/2022
CUST00090,Priya Singh,Lucknow,Uttar Pradesh,Silver,10/29/2023
CUST00091,Ananya Sharma,Jaipur,Rajasthan,Regular,9/30/2023
CUST00092,Ananya Gupta,Jaipur,Rajasthan,Gold,7/28/2023
CUST00093,Ananya Gupta,Kochi,Kerala,Silver,8/8/2021
CUST00094,Ananya Singh,Mumbai,Maharashtra,Silver,1/19/2023
CUST00095,Priya Sharma,Mumbai,Maharashtra,Regular,9/24/2021
CUST00096,Riya Singh,Mumbai,Maharashtra,Gold,11/14/2023
CUST00097,Aarav Gupta,Mumbai,Maharashtra,Gold,10/6/2021
CUST00098,Aarav Sharma,Delhi,Delhi,Regular,9/27/2021
CUST00099,Priya Singh,Chandigarh,Chandigarh,Regular,3/29/2022
CUST00100,Rahul Singh,Mumbai,Maharashtra,Regular,10/26/2022
CUST00101,Neha Singh,Chandigarh,Chandigarh,Silver,10/22/2021
CUST00102,Neha Gupta,Hyderabad,Telangana,Regular,6/23/2022
CUST00103,Neha Verma,Ahmedabad,Gujarat,Silver,2/2/2023
CUST00104,Ananya Verma,Delhi,Delhi,Silver,11/27/2021
CUST00105,Rahul Singh,Noida,Uttar Pradesh,Silver,12/12/2021
