customer_id,customer_name,city,state,loyalty_status,signup_date
CUST00001,Priya Gupta,Mumbai,Maharashtra,Silver,2022-05-24
CUST00002,Aarav Verma,Patna,Bihar,Regular,2021-11-08
CUST00003,Riya Sharma,Pune,Maharashtra,Gold,2023-07-26
CUST00004,Neha Sharma,Mumbai,Maharashtra,Regular,2021-09-15
CUST00005,Neha Sharma,Chennai,Tamil Nadu,Gold,2022-09-15
CUST00006,Riya Singh,Bengaluru,Karnataka,Gold,2023-06-15
CUST00007,Aarav Sharma,Indore,Madhya Pradesh,Regular,2022-09-08
CUST00008,Neha Verma,Pune,Maharashtra,Silver,2022-06-19
CUST00009,Neha Sharma,Chennai,Tamil Nadu,Regular,2024-01-06
CUST00010,Priya Singh,Hyderabad,Telangana,Silver,2022-05-12
CUST00011,,Jaipur,Rajasthan,Gold,2022-05-21
CUST00012,Priya Singh,Delhi,Delhi,Regular,2021-02-14
CUST00013,Priya Gupta,Chennai,Tamil Nadu,Regular,2022-06-11
CUST00014,Riya Gupta,Chennai,Tamil Nadu,Silver,2022-04-10
CUST00015,Aarav Singh,Jaipur,Rajasthan,Gold,2023-05-12
CUST00016,Riya Gupta,Kolkata,West Bengal,Regular,2021-01-14
CUST00017,Rahul Sharma,Patna,Bihar,Regular,2023-10-13
CUST00018,Rahul Verma,Chennai,Tamil Nadu,Regular,2023-08-11
CUST00019,Rahul Singh,Chennai,Tamil Nadu,Regular,2023-10-13
CUST00020,Ananya Verma,Ahmedabad,Gujarat,Silver,2023-05-05
CUST00021,Riya Sharma,Chandigarh,Chandigarh,Gold,2021-10-27
CUST00022,Priya Sharma,Chandigarh,Chandigarh,Regular,2021-02-18
CUST00023,Ananya Gupta,Ahmedabad,Gujarat,Regular,2021-05-04
CUST00024,Priya Gupta,Bengaluru,Karnataka,Gold,2022-10-06
CUST00025,Aarav Sharma,Indore,Madhya Pradesh,Regular,2022-11-06
CUST00026,Ananya Gupta,DELHI,Tamil Nadu,Regular,2022-10-01
CUST00027,Riya Gupta,Noida,Uttar Pradesh,Silver,2022-11-11
CUST00028,Ananya Sharma,Jaipur,Rajasthan,Regular,2021-06-10
CUST00029,Aarav Singh,Hyderabad,Telangana,Silver,2021-09-11
CUST00030,Ananya Gupta,Pune,Maharashtra,Silver,2022-09-25
CUST00031,Priya Sharma,Kochi,Kerala,Regular,2023-08-28
CUST00032,Rahul Gupta,Chennai,Tamil Nadu,Regular,2022-10-25
CUST00033,Riya Gupta,Kolkata,West Bengal,Regular,2023-04-22
CUST00034,Riya Gupta,Chennai,Tamil Nadu,Regular,2023-02-09
CUST00035,Priya Sharma,Delhi,Delhi,Regular,2022-06-11
CUST00036,Riya Sharma,Chennai,Tamil Nadu,Gold,2022-11-26
CUST00037,Rahul Singh,Kolkata,West Bengal,Gold,2021-03-31
CUST00038,Riya Singh,Hyderabad,Telangana,Silver,2022-09-02
CUST00039,Riya Sharma,Delhi,Delhi,Regular,2022-04-24
CUST00040,Priya Gupta,Mumbai,Maharashtra,Silver,2022-05-30
CUST00041,Priya Gupta,Chandigarh,Chandigarh,Regular,2023-10-14
CUST00042,Aarav Singh,Bengaluru,Karnataka,Gold,2021-11-06
CUST00043,Ananya Singh,Ahmedabad,Gujarat,Silver,2023-08-02
CUST00044,Neha Sharma,Kolkata,West Bengal,Gold,2022-02-09
CUST00045,Ananya Verma,Lucknow,Uttar Pradesh,Silver,2021-05-13
CUST00046,Aarav Gupta,Noida,Uttar Pradesh,Gold,2024-01-21
CUST00047,Ananya Gupta,Kolkata,West Bengal,Regular,2021-05-28
CUST00048,Neha Sharma,Hyderabad,Telangana,Regular,2021-07-17
CUST00049,Priya Gupta,Lucknow,Uttar Pradesh,Regular,2022-04-25
CUST00050,Priya Gupta,Bengaluru,Karnataka,Gold,2022-04-27
CUST00051,Neha Sharma,Indore,Madhya Pradesh,Silver,2022-08-25
CUST00052,Neha Singh,Hyderabad,Telangana,Silver,2022-06-05
CUST00053,Rahul Verma,Indore,Madhya Pradesh,Silver,2022-05-22
CUST00054,Ananya Verma,Bengaluru,Karnataka,Regular,2022-07-31
CUST00055,Neha Verma,Chandigarh,Chandigarh,Silver,2021-05-13
CUST00056,Rahul Verma,Lucknow,Uttar Pradesh,Gold,2023-12-14
CUST00057,Riya Sharma,Chennai,Tamil Nadu,Gold,2023-08-09
CUST00058,Aarav Sharma,Delhi,Delhi,Silver,2022-04-19
CUST00059,Priya Singh,Kochi,Kerala,Regular,2022-08-25
CUST00060,Aarav Sharma,Chennai,Tamil Nadu,Regular,2024-04-09
CUST00061,Aarav Singh,Chennai,Tamil Nadu,Gold,2021-12-31
CUST00062,Neha Singh,Jaipur,Rajasthan,Gold,2021-01-13
CUST00063,Riya Singh,Mumbai,Maharashtra,Regular,2021-03-18
CUST00064,Rahul Verma,Kolkata,West Bengal,Regular,2022-02-22
CUST00065,Aarav Verma,Hyderabad,Telangana,Regular,2022-11-02
CUST00066,Riya Singh,Lucknow,Uttar Pradesh,Regular,2022-10-02
CUST00067,Ananya Sharma,Mumbai,Maharashtra,Silver,2024-01-28
CUST00068,Aarav Gupta,Jaipur,Rajasthan,Regular,2023-03-21
CUST00069,Neha Verma,Noida,Uttar Pradesh,Gold,2023-12-30
CUST00070,Riya Verma,Mumbai,Maharashtra,Silver,2022-07-10
CUST00071,Rahul Singh,Lucknow,Uttar Pradesh,Silver,2021-04-16
CUST00072,Riya Singh,Hyderabad,Telangana,Silver,2023-05-03
CUST00073,Rahul Verma,Delhi,Delhi,Silver,2023-04-10
CUST00074,Aarav Gupta,Chennai,Tamil Nadu,Regular,2023-05-18
CUST00075,Aarav Gupta,Mumbai,Maharashtra,Gold,2023-01-17
CUST00076,Ananya Verma,Jaipur,Rajasthan,Regular,2021-04-16
CUST00077,Ananya Gupta,Pune,Maharashtra,Regular,2024-03-19
CUST00078,Rahul Verma,Ahmedabad,Gujarat,Regular,2022-12-14
CUST00079,Ananya Verma,Hyderabad,Telangana,Regular,2021-08-11
CUST00080,Priya Verma,Lucknow,Uttar Pradesh,Silver,2021-09-17
CUST00081,Aarav Gupta,Kochi,Kerala,Silver,2021-04-20
CUST00082,Riya Gupta,Ahmedabad,Gujarat,Regular,2021-11-25
CUST00083,Ananya Gupta,Noida,Uttar Pradesh,Gold,2022-02-06
CUST00084,Priya Verma,Kochi,Kerala,Gold,2022-03-23
